Alfred the Great,849,899
Edward the Elder,874,924
Aelfweard,901,924
Aelthelstan,894,939
Edmund I,921,946
Eadred,923,955
Eadwig,940,959
Edgar the Peaceful,943,975
Edward the Martyr,962,978
Aethelred the Unready,966,1016
Sweyn Forkbeard,960,1014
Aethelred the Unready,966,1016
Edmund Ironside,990,1016
Canute the Great,995,1035
Harole Harefoot,1016,1040
Harthacnut,1018,1042
Edward the Confessor,1003,1066
Harold Godwinson,1022,1066
Edgar Aethelin,1051,1125
William I,1028,1087
William II,1056,1100
Henry I,1068,1135
Stephen of Blois,1096,1154
Matlida,1102,1167
Henry II,1133,1189
Richard I,1157,1199
John Lackland,1166,1216
Louis I of England,1187,1226
Henry III,1236,1272
Edward I,1239,1307
Edward II,1284,1327
Edward III,1312,1377
Richard II,1367,1400
Henry IV,1367,1413
Henry V,1386,1422
Henry VI,1421,1471
Edward IV,1442,1483
Edward V,1470,1483
Richard III,1452,1485
Henry VII,1457,1509
Henry VIII,1491,1547
Edward VI,1537,1553
Jane,1537,1554
Mary I,1516,1558
Phillip,1527,1598
Elizabeth I,1533,1603
James I,1566,1625
Charles I,1600,1649
Oliver Cromwell,1599,1620
Richard Cromwell,1626,1649
Charles II,1630,1685
James II,1633,1701
Mary II,1662,1694
William III,1650,1702
Anne,1665,1714
George I,1660,1727
George II,1683,1760
George III,1738,1820
George IV,1762,1830
William IV,1765,1837
Victoria,1819,1901
Edward VII,1841,1910
George V,1865,1936
Edward VIII,1894,1972
George VI,1895,1952
Elizabeth II,1926,NA
